gene;Arabidopsis_G18_wt22;Arabidopsis_G18_wt29;Arabidopsis_G17_mut22;Arabidopsis_Ruben_mut29
AT1G01010;4,736180759;2,841313822;4,5162023;1,902180908
AT1G01020;4,739132487;6,570153517;6,176786809;8,685997473
AT1G01030;1,507016381;5,761321261;1,330574929;3,782871069
AT1G01040;6,876244022;10,20059233;9,264161026;9,418724576
AT1G01046;3,093691665;1,364674429;0;0
AT1G01050;18,76316143;23,97393534;38,55965618;32,21122894
AT1G01060;31,28724574;41,64427974;26,27661673;39,58744544
AT1G01070;6,047928664;2,167614543;6,007316938;3,479058042
AT1G01080;15,68018722;18,92173583;15,59478637;21,1126301
AT1G01090;76,92718455;70,54061957;106,8596854;89,155812
AT1G01100;87,98551444;81,12005012;71,38545525;107,7764504
AT1G01110;2,569760012;2,000400372;1,735035482;1,264811941
AT1G01120;36,51038847;28,64685171;50,20547032;33,66903487
AT1G01130;0;3,022827229;0;0,716726767
AT1G01140;13,80118919;16,64543678;18,35514173;22,51087884
AT1G01150;0;0;0;0
AT1G01160;10,21496767;12,51660429;15,783249;14,00776409
AT1G01170;12,44727506;54,90682272;21,97989661;39,05600936
AT1G01180;1,095018012;3,477809472;4,060615951;4,764385765
AT1G01183;0;5,111326042;0;0
AT1G01190;0,566321519;0,666168086;1,000033211;1,263613067
AT1G01200;1,057760138;0,933188157;0,2334794;0,663790101
AT1G01210;4,767834037;7,01054694;6,665225505;7,313830248
AT1G01220;5,371438199;5,322088708;3,721077932;6,776190614
AT1G01225;2,964188293;0,784529113;1,308570589;0,744062392
AT1G01230;7,665126084;8,69452368;11,27948875;13,13260179
AT1G01240;4,206603848;2,120682186;2,652924815;2,262707416
AT1G01250;0;1,89521078;1,580576835;1,497878411
AT1G01260;4,942138162;6,124908791;3,94794007;4,332121018
AT1G01270;0;0;0;0
AT1G01280;0;0;0;0
AT1G01290;1,736083535;2,645535272;1,393475367;3,697585935
AT1G01300;14,3786863;28,23505434;29,75871106;36,22234838
AT1G01305;0;0;0;0
AT1G01310;0,326485903;0;0;0
AT1G01320;60,07080556;91,85712806;83,24493733;107,33917
AT1G01335;0;0;0;0
AT1G01340;0,627017398;0,221269526;0,885769938;0,314784365
AT1G01350;5,347976081;7,273810137;8,26321148;6,712171231
AT1G01355;0;0;0;0
AT1G01360;2,709610897;2,629551238;3,588554548;6,348151362
AT1G01370;1,095771119;0,966722601;5,030886927;3,300689429
AT1G01380;0;0,659912987;2,311500864;0,312937039
AT1G01390;1,041908147;2,144807113;2,453124156;0,581193149
AT1G01400;0;0;0;0
AT1G01410;0;0;0;0
AT1G01420;2,815242332;2,794153938;5,592676067;3,533371934
AT1G01430;17,34557861;23,21803664;24,29237564;33,4059922
AT1G01440;5,752623828;4,378551866;4,680745416;6,323432897
AT1G01448;1,873625947;3,660147376;4,017493072;5,03906177
AT1G01450;0;0;0;0
AT1G01453;0;0;0;0,196624157
AT1G01460;0;0;0;0
AT1G01470;9,706285216;8,354321911;8,569873507;8,913823235
AT1G01480;0;0,422106505;0,844872903;0,667223116
AT1G01490;15,06224881;19,93256085;15,0719291;17,50409383
AT1G01500;2,878827704;3,650947173;2,065191867;4,817569413
AT1G01510;9,086984072;12,39933846;9,19979855;13,17905188
AT1G01520;2,761635426;2,811229323;1,68805606;1,777482381
AT1G01530;0;0;0;0
AT1G01540;18,22128299;20,78035622;13,86439968;19,70848666
AT1G01550;26,40416314;38,47131152;39,91427803;41,00594948
AT1G01560;0;0;0;0
AT1G01570;0,846573436;0,149374566;0;0,850018142
AT1G01580;9,642477399;0,197834576;4,058778937;1,313410627
AT1G01590;0;0,107462895;0;0,101919861
AT1G01600;2,333931109;2,785793814;3,030403669;2,41235222
AT1G01610;30,99840215;33,67005832;47,82236919;35,83783776
AT1G01620;70,74241607;99,530255;91,41360754;121,8352001
AT1G01630;17,29445001;19,83499658;14,12439489;22,24867703
AT1G01640;0;3,504649201;0;2,611617034
AT1G01650;4,221380156;8,915580752;5,873070728;8,027569968
AT1G01660;0;0,279585214;0;0,530327911
AT1G01670;0,199280952;0,879058575;0;0,333486376
AT1G01680;0;0;0;0
