gene;mut_22_GH-mut_29_GH_adjPval;wt_22_GH-wt_29_GH_adjPval
AT3G02000;0,999964783;0,999734879
AT4G39320;0,999964783;0,999256605
AT4G00350;0,999964783;0,999256605
ATMG00870;0,999964783;0,999256605
AT3G03605;0,999964783;0,999256605
AT1G17000;0,999964783;0,999256605
AT1G34827;0,999964783;0,999256605
AT1G35545;0,999964783;0,999256605
AT1G56940;0,999964783;0,999256605
AT1G60530;0,999964783;0,999256605
AT1G74820;0,999964783;0,999256605
AT1G50090;0,999964783;0,998909843
AT1G49570;0,999964783;0,998776226
AT3G07920;0,999964783;0,998625609
AT1G21960;0,999964783;0,998625609
AT5G57080;0,999964783;0,998621556
AT1G06523;0,999964783;0,998548243
AT1G08440;0,999964783;0,998548243
AT5G56070;0,654386865;0,998548243
AT5G02895;0,999964783;0,998525692
AT3G26539;0,999964783;0,99815906
AT1G28480;0,999964783;0,9980103
AT5G65070;0,999964783;0,997966883
AT4G01240;0,999964783;0,997683877
AT3G26130;0,999964783;0,997683877
AT1G06387;0,999964783;0,997683877
AT3G27473;0,999964783;0,99766889
AT1G67856;0,999964783;0,99766889
AT1G04143;0,999964783;0,99766889
AT1G05627;0,999964783;0,99766889
AT1G36992;0,999964783;0,996890632
AT3G63215;0,999964783;0,996522191
AT4G03450;0,999964783;0,996522191
AT1G20320;0,999964783;0,996522191
AT1G19830;0,999964783;0,996243324
AT4G37022;0,999964783;0,995829936
AT1G07497;0,999964783;0,995829936
AT1G08927;0,999964783;0,995829936
AT1G25180;0,999964783;0,995829936
AT1G66000;0,999964783;0,995829936
AT2G17043;0,999964783;0,995829936
AT3G16020;0,999964783;0,995488866
AT5G62330;0,999964783;0,995488866
AT1G09293;0,999964783;0,995488866
AT1G19320;0,999964783;0,995488866
AT2G08475;0,999964783;0,995488866
AT1G50930;0,999964783;0,995240542
AT1G09263;0,999964783;0,993804993
AT3G09480;0,999964783;0,993411188
AT4G05170;0,999964783;0,993383972
AT5G51160;0,999964783;0,993383972
AT1G65880;0,999964783;0,993090939
AT3G47660;0,999964783;0,993076809
AT1G66720;0,999964783;0,993076809
AT5G05525;0,999964783;0,992769345
AT1G54775;0,999964783;0,992511798
AT1G78720;0,999964783;0,992089028
AT5G25756;0,999964783;0,99138471
AT1G29140;0,999964783;0,99138471
AT1G49110;0,999964783;0,99138471
AT1G06093;0,999964783;0,99110123
AT2G34238;0,999964783;0,99090152
AT1G07027;0,999964783;0,990736737
AT3G14260;0,999964783;0,990495667
AT1G44085;0,999964783;0,990409601
AT3G62730;0,999964783;0,990019191
AT1G04500;0,999964783;0,990019191
AT1G07273;0,999964783;0,990019191
AT1G08903;0,999964783;0,990019191
AT5G54000;0,72509836;0,990019191
AT1G06030;0,999964783;0,989475137
AT1G05903;0,999964783;0,989399529
AT1G80590;0,999964783;0,989399529
AT2G30130;0,999964783;0,989094833
AT3G28635;0,999964783;0,989094833
AT3G03595;0,999964783;0,989094833
AT3G19020;0,999964783;0,989094833
AT1G08343;0,999964783;0,989094833
AT1G42525;0,999964783;0,989094833
AT1G72540;0,999964783;0,989094833
AT1G08463;0,999964783;0,988590882
AT1G17235;0,999964783;0,988590882
AT5G28650;0,999964783;0,988539225
AT3G18530;0,999964783;0,988539225
AT3G47050;0,999964783;0,988539225
AT5G09465;0,999964783;0,988539225
AT1G05603;0,999964783;0,988539225
AT1G05697;0,999964783;0,988539225
AT1G05707;0,999964783;0,988539225
AT1G34795;0,999964783;0,988539225
AT5G46795;0,935816308;0,988539225
ATMG00610;0,03381764;0,988539225
AT3G10880;0,999964783;0,988445274
AT4G01735;0,999964783;0,988445274
AT1G24405;0,999964783;0,988050011
AT4G24890;0,999964783;0,987743798
AT3G04420;0,999964783;0,987743798
AT3G50190;0,999964783;0,987743798
AT4G32445;0,999964783;0,987743798
AT1G02600;0,999964783;0,987743798
AT1G07863;0,999964783;0,987743798
AT1G20750;0,999964783;0,987743798
AT1G68526;0,999964783;0,987743798
AT2G03180;0,999964783;0,987743798
AT5G55320;0,687866867;0,987743798
AT2G37370;0,999964783;0,98708575
AT5G11440;0,999964783;0,98708575
AT1G23645;0,999964783;0,98708575
AT1G05013;0,999964783;0,986807844
AT1G33607;0,999964783;0,986802855
AT5G64735;0,308319678;0,986802855
AT1G67623;0,999964783;0,986607633
AT1G69180;0,999964783;0,986607633
AT2G04325;0,999964783;0,986607633
AT3G28857;0,999964783;0,986357934
AT2G35658;0,999964783;0,986357934
AT1G03710;0,999964783;0,986357934
AT4G15680;0,999964783;0,986357934
AT1G04667;0,999964783;0,986357934
AT1G05407;0,999964783;0,986357934
AT1G05607;0,999964783;0,986357934
AT1G05767;0,999964783;0,986357934
AT1G06053;0,999964783;0,986357934
AT1G06157;0,999964783;0,986357934
AT1G07523;0,999964783;0,986357934
AT1G08157;0,999964783;0,986357934
AT1G21420;0,999964783;0,986357934
AT1G23700;0,999964783;0,986357934
AT1G24060;0,999964783;0,986357934
AT1G24470;0,999964783;0,986357934
AT1G33840;0,999964783;0,986357934
AT1G47620;0,999964783;0,986357934
AT1G57270;0,999964783;0,986357934
AT4G03965;0,999964783;0,986330927
AT1G06253;0,999964783;0,986330927
AT1G09077;0,999964783;0,986265165
AT1G06280;0,999964783;0,986031545
AT4G16230;0,999964783;0,985448592
AT4G16050;0,999964783;0,985448592
AT5G03495;0,999964783;0,985265867
AT3G03265;0,999964783;0,985008635
AT1G01280;0,999964783;0,984252302
AT1G07943;0,999964783;0,984252302
AT1G13240;0,999964783;0,984227055
AT5G49305;0,999964783;0,98391794
AT1G05040;0,999964783;0,98391794
AT1G05093;0,999964783;0,98391794
AT5G09365;0,999964783;0,983730667
AT1G16225;0,999964783;0,983592666
AT1G07993;0,999964783;0,983580555
AT3G03425;0,999964783;0,983435708
AT1G52830;0,999964783;0,983307093
AT3G15700;0,999964783;0,983307093
AT3G44790;0,999964783;0,983307093
AT3G16210;0,999964783;0,982988836
AT4G01925;0,999964783;0,982858593
AT5G51790;0,999964783;0,982858593
AT5G47590;0,999964783;0,982858593
AT4G21930;0,999964783;0,982858593
AT3G09415;0,999964783;0,982858593
AT1G62690;0,999964783;0,982858593
AT2G29460;0,999964783;0,982858593
AT4G06260;0,999964783;0,982858593
AT1G80165;0,999964783;0,982858593
AT1G06977;0,999964783;0,982858593
AT1G07907;0,999964783;0,982858593
AT1G11030;0,999964783;0,982858593
AT1G28700;0,999964783;0,982858593
AT1G47497;0,999964783;0,982687058
AT2G07325;0,999964783;0,982687058
AT4G23240;0,999964783;0,982557602
AT3G48400;0,999964783;0,982557602
AT1G66173;0,999964783;0,982557602
AT1G24851;0,999964783;0,982557602
AT1G10585;0,999964783;0,98236326
AT1G08887;0,999964783;0,98236326
AT5G65158;0,2486849;0,981438246
AT2G35640;0,999964783;0,981051394
AT1G04213;0,999964783;0,980979114
AT5G01255;0,999964783;0,980979114
AT1G09013;0,999964783;0,980979114
AT3G12955;0,999964783;0,980127799
AT1G47800;0,999964783;0,980127217
AT2G23960;0,999964783;0,97952639
AT1G23120;0,999964783;0,979508414
AT5G59360;0,999964783;0,979508414
AT5G55570;0,999964783;0,979508414
AT3G61450;0,999964783;0,979508414
AT5G35770;0,999964783;0,979508414
AT1G06023;0,999964783;0,979508414
AT1G06673;0,999964783;0,979508414
AT1G06867;0,999964783;0,979508414
AT1G08563;0,999964783;0,979508414
AT1G08797;0,999964783;0,979508414
AT1G16100;0,999964783;0,979508414
AT1G18510;0,999964783;0,979508414
AT1G19930;0,999964783;0,979508414
ATMG00240;0,999964783;0,979170239
AT1G05823;0,999964783;0,979170239
AT2G02440;0,999964783;0,979170239
AT4G11950;0,999964783;0,979076104
AT3G30350;0,999964783;0,979076104
AT1G07937;0,999964783;0,979076104
AT1G01870;0,999964783;0,979076104
AT1G02490;0,999964783;0,979076104
AT1G05797;0,999964783;0,979076104
AT1G28327;0,999964783;0,979076104
AT4G04615;0,999964783;0,978909798
AT1G09663;0,999964783;0,978829928
AT2G27690;0,999964783;0,978769684
AT3G57500;0,999964783;0,978381163
AT4G06795;0,999964783;0,978381163
AT1G08497;0,999964783;0,978381163
AT1G08863;0,999964783;0,978381163
AT1G48940;0,999964783;0,978381163
AT1G50990;0,999964783;0,978381163
AT5G08360;0,999964783;0,97824178
AT1G09043;0,999964783;0,97824178
AT1G53370;0,999964783;0,97824178
AT3G53220;0,999964783;0,977821257
AT1G50750;0,999964783;0,977821257
AT5G50940;0,999964783;0,977821257
AT1G68270;0,999964783;0,977821257
AT2G34340;0,999964783;0,977435759
AT1G44120;0,999964783;0,977406305
AT3G25597;0,999964783;0,977217799
AT5G37800;0,999964783;0,977217799
AT4G26255;0,999964783;0,977217799
AT1G48800;0,999964783;0,977217799
AT1G58460;0,999964783;0,977217799
AT1G01310;0,999964783;0,977217799
AT1G04083;0,999964783;0,977217799
AT1G08447;0,999964783;0,977217799
AT1G08803;0,999964783;0,977217799
AT1G09260;0,999964783;0,977217799
AT1G12960;0,999964783;0,977217799
AT1G16230;0,999964783;0,977217799
AT1G21528;0,999964783;0,977217799
AT1G31772;0,999964783;0,977217799
AT1G69820;0,999964783;0,977217799
AT5G48675;0,913087854;0,977217799
AT1G17380;0,999964783;0,976923629
AT3G44435;0,999964783;0,976923629
AT1G68180;0,999964783;0,976923629
AT4G06665;0,999964783;0,976923629
AT5G17590;0,999964783;0,976923629
